"scenario_id","G","nk","p","cov_type","design","eps","eta","method","false_rejection_rate","n_reps_total","mcse"
"S05",2,"30,30",50,"identity","balanced",0.1,0.8,"Cheng-GM",0.095,1000,0.00927227048785787
"S17",3,"30,30,30",50,"identity","balanced",0.1,0.8,"Cheng-GM",0.068,1000,0.00796090447122687
"S09",2,"50,50",50,"identity","balanced",0.1,0.8,"Cheng-GM",0.305,1000,0.0145593612497252
"S21",3,"50,50,50",50,"identity","balanced",0.1,0.8,"Cheng-GM",0.188,1000,0.0123554036761249
"S07",2,"30,30",100,"identity","balanced",0.1,0.8,"Cheng-GM",0.104,1000,0.00965318600255895
"S19",3,"30,30,30",100,"identity","balanced",0.1,0.8,"Cheng-GM",0.062,1000,0.00762600813007697
"S11",2,"50,50",100,"identity","balanced",0.1,0.8,"Cheng-GM",0.311,1000,0.0146382717559144
"S23",3,"50,50,50",100,"identity","balanced",0.1,0.8,"Cheng-GM",0.178,1000,0.0120961150788177
"S26",2,"30,20",30,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.081,1000,0.00862780389206894
"S34",3,"30,20,20",30,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.054,1000,0.00714730718522718
"S28",2,"30,20",50,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.082,1000,0.00867617427210865
"S36",3,"30,20,20",50,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.052,1000,0.00702111102319284
"S30",2,"50,30",50,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.152,1000,0.0113532374237483
"S38",3,"50,30,20",50,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.079,1000,0.00852988862764339
"S32",2,"50,30",100,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.147,1000,0.0111978122863352
"S40",3,"50,30,20",100,"ar1","unbalanced",0.1,0.8,"Cheng-GM",0.058,1000,0.00739161687318817
"S25",2,"30,20",30,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.064,1000,0.00773976743836661
"S33",3,"30,20,20",30,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.059,1000,0.00745110730026081
"S27",2,"30,20",50,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.069,1000,0.00801492358042171
"S35",3,"30,20,20",50,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.045,1000,0.00655553201502365
"S29",2,"50,30",50,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.158,1000,0.0115341232870123
"S37",3,"50,30,20",50,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.08,1000,0.00857904423581089
"S31",2,"50,30",100,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.129,1000,0.0105999528300837
"S39",3,"50,30,20",100,"identity","unbalanced",0.1,0.8,"Cheng-GM",0.084,1000,0.00877177291087725
"S02",2,"20,20",30,"ar1","balanced",0.2,0.6,"Proposed",0.096,1000,0.00931579304192617
"S14",3,"20,20,20",30,"ar1","balanced",0.2,0.6,"Proposed",0.061,1000,0.00756828910652864
"S04",2,"20,20",50,"ar1","balanced",0.2,0.6,"Proposed",0.065,1000,0.00779583221984671
"S16",3,"20,20,20",50,"ar1","balanced",0.2,0.6,"Proposed",0.056,1000,0.00727076337120113
"S06",2,"30,30",50,"ar1","balanced",0.2,0.6,"Proposed",0.176,1000,0.0120425910833176
"S18",3,"30,30,30",50,"ar1","balanced",0.2,0.6,"Proposed",0.092,1000,0.00913980306133562
"S10",2,"50,50",50,"ar1","balanced",0.2,0.6,"Proposed",0.761,1000,0.0134862522592453
"S22",3,"50,50,50",50,"ar1","balanced",0.2,0.6,"Proposed",0.258,1000,0.0138360398958662
"S08",2,"30,30",100,"ar1","balanced",0.2,0.6,"Proposed",0.107,1000,0.00977501918156686
"S20",3,"30,30,30",100,"ar1","balanced",0.2,0.6,"Proposed",0.097,1000,0.00935900635751467
"S12",2,"50,50",100,"ar1","balanced",0.2,0.6,"Proposed",0.604,1000,0.0154655746740947
"S24",3,"50,50,50",100,"ar1","balanced",0.2,0.6,"Proposed",0.302,1000,0.0145188153786733
"S01",2,"20,20",30,"identity","balanced",0.2,0.6,"Proposed",0.059,1000,0.00745110730026081
"S13",3,"20,20,20",30,"identity","balanced",0.2,0.6,"Proposed",0.056,1000,0.00727076337120113
"S03",2,"20,20",50,"identity","balanced",0.2,0.6,"Proposed",0.056,1000,0.00727076337120113
"S15",3,"20,20,20",50,"identity","balanced",0.2,0.6,"Proposed",0.07,1000,0.00806845710157772
"S05",2,"30,30",50,"identity","balanced",0.2,0.6,"Proposed",0.058,1000,0.00739161687318817
"S17",3,"30,30,30",50,"identity","balanced",0.2,0.6,"Proposed",0.074,1000,0.00827792244467173
"S09",2,"50,50",50,"identity","balanced",0.2,0.6,"Proposed",0.071,1000,0.00812151463706124
"S21",3,"50,50,50",50,"identity","balanced",0.2,0.6,"Proposed",0.077,1000,0.00843036179532053
"S07",2,"30,30",100,"identity","balanced",0.2,0.6,"Proposed",0.055,1000,0.00720936890441875
"S19",3,"30,30,30",100,"identity","balanced",0.2,0.6,"Proposed",0.11,1000,0.00989444288477123
"S11",2,"50,50",100,"identity","balanced",0.2,0.6,"Proposed",0.107,1000,0.00977501918156686
"S23",3,"50,50,50",100,"identity","balanced",0.2,0.6,"Proposed",0.098,1000,0.00940191469861326
