Scenario,G,Group Sizes,p,Structure,Proposed Power,Proposed MCSE,Schott Power,Schott MCSE,Cheng-GM Power,Cheng-GM MCSE
S01,2,"(20,20)",30,I,0.167,0.0118,0.451,0.0157,0.159,0.0116
S02,2,"(20,20)",30,AR(1),0.113,0.01,0.354,0.0151,0.145,0.0111
S03,2,"(20,20)",50,I,0.242,0.0135,0.543,0.0158,0.162,0.0117
S04,2,"(20,20)",50,AR(1),0.134,0.0108,0.428,0.0156,0.129,0.0106
S05,2,"(30,30)",50,I,0.382,0.0154,0.827,0.012,0.217,0.013
S06,2,"(30,30)",50,AR(1),0.206,0.0128,0.614,0.0154,0.202,0.0127
S07,2,"(30,30)",100,I,0.701,0.0145,0.962,0.006,0.225,0.0132
S08,2,"(30,30)",100,AR(1),0.37,0.0153,0.833,0.0118,0.232,0.0133
S09,2,"(50,50)",50,I,0.674,0.0148,0.987,0.0036,0.394,0.0155
S10,2,"(50,50)",50,AR(1),0.333,0.0149,0.855,0.0111,0.368,0.0153
S11,2,"(50,50)",100,I,0.896,0.0097,1,0,0.418,0.0156
S12,2,"(50,50)",100,AR(1),0.575,0.0156,0.978,0.0046,0.443,0.0157
S13,3,"(20,20,20)",30,I,0.529,0.0158,0.952,0.0068,0.34,0.015
S14,3,"(20,20,20)",30,AR(1),0.279,0.0142,0.813,0.0123,0.279,0.0142
S15,3,"(20,20,20)",50,I,0.704,0.0144,0.995,0.0022,0.37,0.0153
S16,3,"(20,20,20)",50,AR(1),0.401,0.0155,0.938,0.0076,0.314,0.0147
S17,3,"(30,30,30)",50,I,0.913,0.0089,1,0,0.579,0.0156
S18,3,"(30,30,30)",50,AR(1),0.596,0.0155,0.994,0.0024,0.543,0.0158
S19,3,"(30,30,30)",100,I,0.998,0.0014,1,0,0.708,0.0144
S20,3,"(30,30,30)",100,AR(1),0.874,0.0105,1,0,0.636,0.0152
S21,3,"(50,50,50)",50,I,1,0,1,0,0.929,0.0081
S22,3,"(50,50,50)",50,AR(1),0.874,0.0105,1,0,0.857,0.0111
S23,3,"(50,50,50)",100,I,1,0,1,0,0.964,0.0059
S24,3,"(50,50,50)",100,AR(1),0.995,0.0022,1,0,0.939,0.0076
S25,2,"(30,20)",30,I,0.191,0.0124,0.526,0.0158,0.157,0.0115
S26,2,"(30,20)",30,AR(1),0.135,0.0108,0.398,0.0155,0.16,0.0116
S27,2,"(30,20)",50,I,0.293,0.0144,0.678,0.0148,0.179,0.0121
S28,2,"(30,20)",50,AR(1),0.159,0.0116,0.506,0.0158,0.156,0.0115
S29,2,"(50,30)",50,I,0.473,0.0158,0.924,0.0084,0.257,0.0138
S30,2,"(50,30)",50,AR(1),0.25,0.0137,0.721,0.0142,0.253,0.0137
S31,2,"(50,30)",100,I,0.809,0.0124,0.995,0.0022,0.315,0.0147
S32,2,"(50,30)",100,AR(1),0.443,0.0157,0.929,0.0081,0.292,0.0144
S33,3,"(30,20,20)",30,I,0.64,0.0152,0.992,0.0028,0.424,0.0156
S34,3,"(30,20,20)",30,AR(1),0.344,0.015,0.877,0.0104,0.375,0.0153
S35,3,"(30,20,20)",50,I,0.814,0.0123,1,0,0.452,0.0157
S36,3,"(30,20,20)",50,AR(1),0.465,0.0158,0.963,0.006,0.373,0.0153
S37,3,"(50,30,20)",50,I,0.932,0.008,1,0,0.583,0.0156
S38,3,"(50,30,20)",50,AR(1),0.599,0.0155,0.998,0.0014,0.531,0.0158
S39,3,"(50,30,20)",100,I,0.996,0.002,1,0,0.662,0.015
S40,3,"(50,30,20)",100,AR(1),0.876,0.0104,1,0,0.627,0.0153
