scenario_id,G,nk,p,cov_type,design,signal_d,R,proposed_power,proposed_mcse,schott_power,schott_mcse,cheng_power,cheng_mcse,na_proposed,na_schott,na_cheng
S01,2,"20,20",30,identity,balanced,0.4,1000,0.721,0.0141830532678969,0.996,0.00199599599197994,0.485,0.0158042715744826,0,0,0
S02,2,"20,20",30,ar1,balanced,0.4,1000,0.404,0.0155172162451904,0.908,0.00913980306133562,0.439,0.0156932788161047,0,0,0
S03,2,"20,20",50,identity,balanced,0.4,1000,0.925,0.00832916562447884,1,0,0.512,0.0158068339650924,0,0,0
S04,2,"20,20",50,ar1,balanced,0.4,1000,0.618,0.015364764885933,0.981,0.00431729081716764,0.5,0.0158113883008419,0,0,0
S05,2,"30,30",50,identity,balanced,0.4,1000,0.992,0.00281709069786544,1,0,0.805,0.0125289664378192,0,0,0
S06,2,"30,30",50,ar1,balanced,0.4,1000,0.775,0.0132051126462443,0.999,0.000999499874937461,0.723,0.0141517136771488,0,0,0
S07,2,"30,30",100,identity,balanced,0.4,1000,1,0,1,0,0.867,0.0107382959542006,0,0,0
S08,2,"30,30",100,ar1,balanced,0.4,1000,0.981,0.00431729081716764,1,0,0.805,0.0125289664378192,0,0,0
S09,2,"50,50",50,identity,balanced,0.4,1000,1,0,1,0,0.982,0.00420428352992517,0,0,0
S10,2,"50,50",50,ar1,balanced,0.4,1000,0.964,0.00589101010014412,1,0,0.967,0.00564898220921256,0,0,0
S11,2,"50,50",100,identity,balanced,0.4,1000,1,0,1,0,0.995,0.00223047080231955,0,0,0
S12,2,"50,50",100,ar1,balanced,0.4,1000,1,0,1,0,0.99,0.00314642654451046,0,0,0
S13,3,"20,20,20",30,identity,balanced,0.4,1000,0.998,0.00141279864099595,1,0,0.976,0.00483983470792134,0,0,0
S14,3,"20,20,20",30,ar1,balanced,0.4,1000,0.922,0.00848033018225116,1,0,0.943,0.00733150734842434,0,0,0
S15,3,"20,20,20",50,identity,balanced,0.4,1000,1,0,1,0,0.995,0.00223047080231955,0,0,0
S16,3,"20,20,20",50,ar1,balanced,0.4,1000,0.984,0.00396787096564392,1,0,0.979,0.00453420334788814,0,0,0
S17,3,"30,30,30",50,identity,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S18,3,"30,30,30",50,ar1,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S19,3,"30,30,30",100,identity,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S20,3,"30,30,30",100,ar1,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S21,3,"50,50,50",50,identity,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S22,3,"50,50,50",50,ar1,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S23,3,"50,50,50",100,identity,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S24,3,"50,50,50",100,ar1,balanced,0.4,1000,1,0,1,0,1,0,0,0,0
S25,2,"30,20",30,identity,unbalanced,0.4,1000,0.802,0.012601428490453,0.999,0.000999499874937461,0.594,0.0155294558822903,0,0,0
S26,2,"30,20",30,ar1,unbalanced,0.4,1000,0.455,0.0157472219772251,0.954,0.00662449998113065,0.519,0.0157999683543987,0,0,0
S27,2,"30,20",50,identity,unbalanced,0.4,1000,0.963,0.00596917079668525,1,0,0.652,0.0150630674166984,0,0,0
S28,2,"30,20",50,ar1,unbalanced,0.4,1000,0.672,0.0148464137083674,0.992,0.00281709069786544,0.587,0.0155701958882989,0,0,0
S29,2,"50,30",50,identity,unbalanced,0.4,1000,0.999,0.000999499874937461,1,0,0.909,0.00909499862561837,0,0,0
S30,2,"50,30",50,ar1,unbalanced,0.4,1000,0.855,0.0111344061359374,0.999,0.000999499874937461,0.827,0.011961229033841,0,0,0
S31,2,"50,30",100,identity,unbalanced,0.4,1000,1,0,1,0,0.951,0.00682634602111555,0,0,0
S32,2,"50,30",100,ar1,unbalanced,0.4,1000,0.994,0.00244213021765835,1,0,0.92,0.00857904423581089,0,0,0
S33,3,"30,20,20",30,identity,unbalanced,0.4,1000,1,0,1,0,0.999,0.000999499874937461,0,0,0
S34,3,"30,20,20",30,ar1,unbalanced,0.4,1000,0.978,0.00463853425124791,1,0,0.981,0.00431729081716764,0,0,0
S35,3,"30,20,20",50,identity,unbalanced,0.4,1000,1,0,1,0,0.999,0.000999499874937461,0,0,0
S36,3,"30,20,20",50,ar1,unbalanced,0.4,1000,0.997,0.00172945077987204,1,0,0.996,0.00199599599197994,0,0,0
S37,3,"50,30,20",50,identity,unbalanced,0.4,1000,1,0,1,0,1,0,0,0,0
S38,3,"50,30,20",50,ar1,unbalanced,0.4,1000,1,0,1,0,1,0,0,0,0
S39,3,"50,30,20",100,identity,unbalanced,0.4,1000,1,0,1,0,1,0,0,0,0
S40,3,"50,30,20",100,ar1,unbalanced,0.4,1000,1,0,1,0,1,0,0,0,0
