scenario_id,G,nk,p,cov_type,design,signal_d,R,proposed_power,proposed_mcse,schott_power,schott_mcse,cheng_power,cheng_mcse,na_proposed,na_schott,na_cheng
S01,2,"20,20",30,identity,balanced,0.2,1000,0.167,0.01179453263169,0.451,0.015735278834517,0.159,0.0115636931816786,0,0,0
S02,2,"20,20",30,ar1,balanced,0.2,1000,0.113,0.0100115433375679,0.354,0.0151223014121528,0.145,0.0111344061359374,0,0,0
S03,2,"20,20",50,identity,balanced,0.2,1000,0.242,0.0135438546950268,0.543,0.0157528092732693,0.162,0.0116514376795312,0,0,0
S04,2,"20,20",50,ar1,balanced,0.2,1000,0.134,0.0107723720693262,0.428,0.0156465970741245,0.129,0.0105999528300837,0,0,0
S05,2,"30,30",50,identity,balanced,0.2,1000,0.382,0.015364764885933,0.827,0.011961229033841,0.217,0.0130349913693872,0,0,0
S06,2,"30,30",50,ar1,balanced,0.2,1000,0.206,0.0127892142057282,0.614,0.015394934231753,0.202,0.0126962986732354,0,0,0
S07,2,"30,30",100,identity,balanced,0.2,1000,0.701,0.0144775343204566,0.962,0.00604615580348373,0.225,0.0132051126462443,0,0,0
S08,2,"30,30",100,ar1,balanced,0.2,1000,0.37,0.0152676127799994,0.833,0.01179453263169,0.232,0.0133482583133531,0,0,0
S09,2,"50,50",50,identity,balanced,0.2,1000,0.674,0.0148230900961979,0.987,0.00358203852575597,0.394,0.0154519901630826,0,0,0
S10,2,"50,50",50,ar1,balanced,0.2,1000,0.333,0.0149033888763596,0.855,0.0111344061359374,0.368,0.0152504426165276,0,0,0
S11,2,"50,50",100,identity,balanced,0.2,1000,0.896,0.00965318600255895,1,0,0.418,0.0155973074599432,0,0,0
S12,2,"50,50",100,ar1,balanced,0.2,1000,0.575,0.0156324982008635,0.978,0.00463853425124791,0.443,0.0157083099027235,0,0,0
S13,3,"20,20,20",30,identity,balanced,0.2,1000,0.529,0.0157847711418316,0.952,0.00675988165576884,0.34,0.0149799866488592,0,0,0
