scenario_id,G,nk,p,cov_type,design,signal_d,R,proposed_power,proposed_mcse,schott_power,schott_mcse,cheng_power,cheng_mcse,na_proposed,na_schott,na_cheng
S14,3,"20,20,20",30,ar1,balanced,0.2,1000,0.279,0.0141830532678969,0.813,0.0123300851578568,0.279,0.0141830532678969,0,0,0
S15,3,"20,20,20",50,identity,balanced,0.2,1000,0.704,0.0144355117678592,0.995,0.00223047080231955,0.37,0.0152676127799994,0,0,0
S16,3,"20,20,20",50,ar1,balanced,0.2,1000,0.401,0.0154983547513922,0.938,0.00762600813007697,0.314,0.0146766481186952,0,0,0
S17,3,"30,30,30",50,identity,balanced,0.2,1000,0.913,0.00891240708226459,1,0,0.579,0.0156127832240123,0,0,0
S18,3,"30,30,30",50,ar1,balanced,0.2,1000,0.596,0.0155172162451904,0.994,0.00244213021765835,0.543,0.0157528092732693,0,0,0
S19,3,"30,30,30",100,identity,balanced,0.2,1000,0.998,0.00141279864099595,1,0,0.708,0.0143783170086071,0,0,0
S20,3,"30,30,30",100,ar1,balanced,0.2,1000,0.874,0.010493998284734,1,0,0.636,0.0152152555022911,0,0,0
S21,3,"50,50,50",50,identity,balanced,0.2,1000,1,0,1,0,0.929,0.00812151463706124,0,0,0
S22,3,"50,50,50",50,ar1,balanced,0.2,1000,0.874,0.010493998284734,1,0,0.857,0.0110702755159933,0,0,0
S23,3,"50,50,50",100,identity,balanced,0.2,1000,1,0,1,0,0.964,0.00589101010014412,0,0,0
S24,3,"50,50,50",100,ar1,balanced,0.2,1000,0.995,0.00223047080231955,1,0,0.939,0.00756828910652864,0,0,0
S25,2,"30,20",30,identity,unbalanced,0.2,1000,0.191,0.0124305671632472,0.526,0.0157899968334386,0.157,0.0115043904662524,0,0,0
S26,2,"30,20",30,ar1,unbalanced,0.2,1000,0.135,0.0108062481925967,0.398,0.0154788888490098,0.16,0.0115931013969516,0,0,0
S27,2,"30,20",50,identity,unbalanced,0.2,1000,0.293,0.0143927412260486,0.678,0.0147755202954075,0.179,0.0121226647235663,0,0,0
S28,2,"30,20",50,ar1,unbalanced,0.2,1000,0.159,0.0115636931816786,0.506,0.0158102498398982,0.156,0.0114744934528719,0,0,0
S29,2,"50,30",50,identity,unbalanced,0.2,1000,0.473,0.0157883184665119,0.924,0.00837997613361756,0.257,0.0138185020895899,0,0,0
S30,2,"50,30",50,ar1,unbalanced,0.2,1000,0.25,0.0136930639376292,0.721,0.0141830532678969,0.253,0.0137473997541353,0,0,0
S31,2,"50,30",100,identity,unbalanced,0.2,1000,0.809,0.0124305671632472,0.995,0.00223047080231955,0.315,0.0146892818068141,0,0,0
S32,2,"50,30",100,ar1,unbalanced,0.2,1000,0.443,0.0157083099027235,0.929,0.00812151463706124,0.292,0.0143783170086071,0,0,0
S33,3,"30,20,20",30,identity,unbalanced,0.2,1000,0.64,0.0151789327688082,0.992,0.00281709069786544,0.424,0.0156276677722557,0,0,0
S34,3,"30,20,20",30,ar1,unbalanced,0.2,1000,0.344,0.0150221170279026,0.877,0.0103860964755773,0.375,0.0153093108923949,0,0,0
S35,3,"30,20,20",50,identity,unbalanced,0.2,1000,0.814,0.01230463327369,1,0,0.452,0.0157383607786834,0,0,0
S36,3,"30,20,20",50,ar1,unbalanced,0.2,1000,0.465,0.0157726028289563,0.963,0.00596917079668525,0.373,0.0152928414625929,0,0,0
S37,3,"50,30,20",50,identity,unbalanced,0.2,1000,0.932,0.00796090447122687,1,0,0.583,0.0155920171882922,0,0,0
S38,3,"50,30,20",50,ar1,unbalanced,0.2,1000,0.599,0.0154983547513922,0.998,0.00141279864099595,0.531,0.0157809695519635,0,0,0
S39,3,"50,30,20",100,identity,unbalanced,0.2,1000,0.996,0.00199599599197994,1,0,0.662,0.0149584758581882,0,0,0
S40,3,"50,30,20",100,ar1,unbalanced,0.2,1000,0.876,0.0104222838188182,1,0,0.627,0.0152928414625929,0,0,0
