"scenario","group1","group2","corr_group_means","l2_distance","median_abs_mean_diff","median_abs_std_mean_diff","max_abs_std_mean_diff"
"Before contamination","G1","G2",-0.425711842819762,3.65299232590408,0.143248973289367,0.140938866119701,0.69368945547923
"Before contamination","G1","G3",-0.508968135144361,3.9300216260851,0.14470843916237,0.149589213922509,0.757427118364836
"Before contamination","G2","G3",-0.328452635713212,3.48762887330387,0.13795549779668,0.135689589693977,0.744433844678137
"After contamination","G1","G2",-0.983667133368899,32.9819359997006,0.293133125063059,0.289739719429211,1.18052206228478
"After contamination","G1","G3",-0.017304981468936,16.5311861933725,0.309095111848282,0.301275861343387,0.950421986808094
"After contamination","G2","G3",-0.124785444267325,17.0751393217468,0.287936377989535,0.286932233586104,1.09752922934154
