Scenario,G,Group Sizes,p,Structure,Proposed Power,Proposed MCSE,Schott Power,Schott MCSE,Cheng-GM Power,Cheng-GM MCSE
S01,2,"(20,20)",30,I,0.986,0.0037,1,0,0.901,0.0094
S02,2,"(20,20)",30,AR(1),0.801,0.0126,0.999,0.001,0.83,0.0119
S03,2,"(20,20)",50,I,1,0,1,0,0.935,0.0078
S04,2,"(20,20)",50,AR(1),0.962,0.006,1,0,0.884,0.0101
S05,2,"(30,30)",50,I,1,0,1,0,0.998,0.0014
S06,2,"(30,30)",50,AR(1),0.999,0.001,1,0,0.988,0.0034
S07,2,"(30,30)",100,I,1,0,1,0,0.999,0.001
S08,2,"(30,30)",100,AR(1),1,0,1,0,0.999,0.001
S09,2,"(50,50)",50,I,1,0,1,0,1,0
S10,2,"(50,50)",50,AR(1),1,0,1,0,1,0
S11,2,"(50,50)",100,I,1,0,1,0,1,0
S12,2,"(50,50)",100,AR(1),1,0,1,0,1,0
S13,3,"(20,20,20)",30,I,1,0,1,0,1,0
S14,3,"(20,20,20)",30,AR(1),1,0,1,0,1,0
S15,3,"(20,20,20)",50,I,1,0,1,0,1,0
S16,3,"(20,20,20)",50,AR(1),1,0,1,0,1,0
S17,3,"(30,30,30)",50,I,1,0,1,0,1,0
S18,3,"(30,30,30)",50,AR(1),1,0,1,0,1,0
S19,3,"(30,30,30)",100,I,1,0,1,0,1,0
S20,3,"(30,30,30)",100,AR(1),1,0,1,0,1,0
S21,3,"(50,50,50)",50,I,1,0,1,0,1,0
S22,3,"(50,50,50)",50,AR(1),1,0,1,0,1,0
S23,3,"(50,50,50)",100,I,1,0,1,0,1,0
S24,3,"(50,50,50)",100,AR(1),1,0,1,0,1,0
S25,2,"(30,20)",30,I,0.996,0.002,1,0,0.959,0.0063
S26,2,"(30,20)",30,AR(1),0.895,0.0097,1,0,0.922,0.0085
S27,2,"(30,20)",50,I,1,0,1,0,0.986,0.0037
S28,2,"(30,20)",50,AR(1),0.977,0.0047,1,0,0.943,0.0073
S29,2,"(50,30)",50,I,1,0,1,0,1,0
S30,2,"(50,30)",50,AR(1),1,0,1,0,1,0
S31,2,"(50,30)",100,I,1,0,1,0,1,0
S32,2,"(50,30)",100,AR(1),1,0,1,0,1,0
S33,3,"(30,20,20)",30,I,1,0,1,0,1,0
S34,3,"(30,20,20)",30,AR(1),1,0,1,0,1,0
S35,3,"(30,20,20)",50,I,1,0,1,0,1,0
S36,3,"(30,20,20)",50,AR(1),1,0,1,0,1,0
S37,3,"(50,30,20)",50,I,1,0,1,0,1,0
S38,3,"(50,30,20)",50,AR(1),1,0,1,0,1,0
S39,3,"(50,30,20)",100,I,1,0,1,0,1,0
S40,3,"(50,30,20)",100,AR(1),1,0,1,0,1,0
